# Komplett beholdningsliste for DNB Teknologi, per 26.06.2026.
# Kilde: DNBs "Fondbeholdning"-rapport (Beholdningsoversikt) for NO0010337678,
# hentet fra dnbam.com.
#
# 61 aksjeposter som summerer til 98,35 %, resten er bankkonti.
# Erstatter Morningstar-lista fra 31.03.2026.
#
# Navnene er DNBs egne, ikke Morningstars - kortere selskapsnavn uten
# andelsklasse-suffiks. Ticker-tabellen i dnb-teknologi-a.yaml er oppdatert
# til å bruke de samme nøklene.
name,weight_pct
Microsoft Corp,8.77
Alphabet Inc,7.73
Visa Inc,6.78
Amazon.com Inc,6.17
Broadcom Inc,5.36
Mastercard Inc,4.57
Meta Platforms Inc,4.46
Atlassian Corp,4.36
Nvidia Corp,4.24
Telefonaktiebolaget LM Ericsson,3.81
SAP SE,2.34
Dassault Systemes SE,2.17
Adyen NV,2.16
HP Inc,2.14
Sony Group Corp,2.11
Taiwan Semiconductor Manufacturing Co Ltd,1.98
T-Mobile US Inc,1.91
Samsung Electronics Co Ltd,1.67
Booking Holdings Inc,1.63
Intuit Inc,1.59
Logitech International SA,1.56
ASML Holding NV,1.36
Peloton Interactive Inc,1.33
Nordic Semiconductor ASA,1.31
Skyworks Solutions Inc,1.29
Check Point Software Technologies Ltd,1.14
Oracle Corp,1.13
Apple Inc,1.11
Nintendo Co Ltd,1.03
Match Group Inc,1.02
Telia Company AB,0.98
Accenture Plc,0.96
ServiceNow Inc,0.91
Embracer Group AB,0.83
Asmodee Group AB,0.68
Criteo SA,0.65
Deutsche Telekom AG,0.48
Salesforce Inc,0.46
Analog Devices Inc,0.38
Cisco Systems Inc,0.36
Arista Networks Inc,0.36
TomTom NV,0.34
CDW Corp/DE,0.34
Adobe Inc,0.30
Applied Materials Inc,0.28
AppLovin Corp,0.24
ADTRAN Holdings Inc,0.22
Arrow Electronics Inc,0.20
Coffee Stain Group AB,0.19
Cint Group AB,0.19
Netflix Inc,0.18
Dustin Group AB,0.17
Mobileye Global Inc,0.13
Stillfront Group AB,0.11
Atea ASA,0.10
Ubisoft Entertainment SA,0.05
Swisscom AG,0.01
Nokia Oyj,0.00
Infineon Technologies AG,0.00
NOS SGPS SA,0.00
TDC AS,0.00
