date,estimated_pct,coverage_pct,fx_contribution_pct,snapshot_age_days,warnings
2026-07-30,1.0585,96.74,-0.7448,121,Beholdningene er 121 dager gamle. Forvalter kan ha handlet siden da. | 2 beholdning(er) uten kurs: Lenovo Group Ltd (0992.HK: mangler kurs); Asmodee Group AB Ordinary Shares - Class B (ASMODEE-B.ST: mangler kurs)
2026-07-31,1.0160,96.74,-1.1354,122,"1,6 % av fondet har ingen kurs for 2026-07-31 - gårsdagens er videreført, så de bidrar 0,0 % uten at det er sant. Kjørte jobben før børsen stengte? Gjelder: NOKIA.HE | Beholdningene er 122 dager gamle. Forvalter kan ha handlet siden da. | 2 beholdning(er) uten kurs: Lenovo Group Ltd (0992.HK: mangler kurs); Asmodee Group AB Ordinary Shares - Class B (ASMODEE-B.ST: mangler kurs)"
2026-08-03,1.6877,97.65,-0.4265,38,2 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs); TDC AS (ingen ticker konfigurert)
2026-08-04,2.4911,97.65,0.4890,39,2 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs); TDC AS (ingen ticker konfigurert)
2026-08-05,-0.6822,97.65,0.0251,40,1 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs)
2026-08-07,2.2349,97.65,0.0477,42,1 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs)
2026-08-10,-0.1728,97.65,-0.3411,45,"1,2 % av fondet har ingen kurs for 2026-08-10 - gårsdagens er videreført, så de bidrar 0,0 % uten at det er sant. Kjørte jobben før børsen stengte? Gjelder: 7974.T, CINT.ST | 1 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs)"
2026-08-11,-0.4734,97.65,-0.0872,46,"1,2 % av fondet har ingen kurs for 2026-08-11 - gårsdagens er videreført, så de bidrar 0,0 % uten at det er sant. Kjørte jobben før børsen stengte? Gjelder: 7974.T, CINT.ST | Beholdningene er 46 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 1 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs)"
2026-08-12,-0.4253,97.65,-0.0472,47,"1,2 % av fondet har ingen kurs for 2026-08-12 - gårsdagens er videreført, så de bidrar 0,0 % uten at det er sant. Kjørte jobben før børsen stengte? Gjelder: 7974.T, CINT.ST, NOKIA.HE | Beholdningene er 47 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 1 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs)"
2026-08-13,1.9182,97.65,0.0865,48,"1,2 % av fondet har ingen kurs for 2026-08-13 - gårsdagens er videreført, så de bidrar 0,0 % uten at det er sant. Kjørte jobben før børsen stengte? Gjelder: 7974.T, CINT.ST, NOKIA.HE | Beholdningene er 48 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 1 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs)"
2026-08-14,-0.9986,97.65,-0.4129,49,"1,2 % av fondet har ingen kurs for 2026-08-14 - gårsdagens er videreført, så de bidrar 0,0 % uten at det er sant. Kjørte jobben før børsen stengte? Gjelder: 7974.T, CINT.ST | Beholdningene er 49 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 1 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs)"
2026-08-17,-2.1972,97.65,-0.8325,52,"1,2 % av fondet har ingen kurs for 2026-08-17 - gårsdagens er videreført, så de bidrar 0,0 % uten at det er sant. Kjørte jobben før børsen stengte? Gjelder: 7974.T, CINT.ST | Beholdningene er 52 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 1 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs)"
2026-08-18,-0.5043,97.65,-0.2665,53,"1,2 % av fondet har ingen kurs for 2026-08-18 - gårsdagens er videreført, så de bidrar 0,0 % uten at det er sant. Kjørte jobben før børsen stengte? Gjelder: 7974.T, CINT.ST | Beholdningene er 53 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 1 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs) | Gammel kurs (mistenkelig ticker?): CINT.ST"
2026-08-19,-0.1333,97.65,-0.7972,54,"1,2 % av fondet har ingen kurs for 2026-08-19 - gårsdagens er videreført, så de bidrar 0,0 % uten at det er sant. Kjørte jobben før børsen stengte? Gjelder: 7974.T, CINT.ST | Beholdningene er 54 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 1 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs) | Gammel kurs (mistenkelig ticker?): CINT.ST"
2026-08-20,-0.8255,97.65,-0.4784,55,"1,2 % av fondet har ingen kurs for 2026-08-20 - gårsdagens er videreført, så de bidrar 0,0 % uten at det er sant. Kjørte jobben før børsen stengte? Gjelder: 7974.T, CINT.ST | Beholdningene er 55 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 1 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs) | Gammel kurs (mistenkelig ticker?): CINT.ST"
2026-08-21,0.1400,97.46,-0.3707,56,"1,0 % av fondet har ingen kurs for 2026-08-21 - gårsdagens er videreført, så de bidrar 0,0 % uten at det er sant. Kjørte jobben før børsen stengte? Gjelder: 7974.T | Beholdningene er 56 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 2 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs); Cint Group AB (CINT.ST: mangler kurs)"
2026-08-24,-0.3041,97.46,-0.4287,59,"1,0 % av fondet har ingen kurs for 2026-08-24 - gårsdagens er videreført, så de bidrar 0,0 % uten at det er sant. Kjørte jobben før børsen stengte? Gjelder: 7974.T | Beholdningene er 59 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 2 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs); Cint Group AB (CINT.ST: mangler kurs)"
2026-08-25,0.4397,97.46,0.1111,60,"1,0 % av fondet har ingen kurs for 2026-08-25 - gårsdagens er videreført, så de bidrar 0,0 % uten at det er sant. Kjørte jobben før børsen stengte? Gjelder: 7974.T | Beholdningene er 60 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 2 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs); Cint Group AB (CINT.ST: mangler kurs)"
2026-08-28,0.6938,97.46,-0.2820,63,"Beholdningene er 63 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 2 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs); Cint Group AB (CINT.ST: mangler kurs)"
2026-08-31,-0.3917,97.46,0.3326,66,"1,7 % av fondet har ingen kurs for 2026-08-31 - gårsdagens er videreført, så de bidrar 0,0 % uten at det er sant. Kjørte jobben før børsen stengte? Gjelder: SMSN.IL | Beholdningene er 66 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 2 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs); Cint Group AB (CINT.ST: mangler kurs)"
2026-09-01,-1.3717,97.46,-0.1823,67,"Beholdningene er 67 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 2 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs); Cint Group AB (CINT.ST: mangler kurs)"
2026-09-02,0.4755,97.46,-0.2357,68,"Beholdningene er 68 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 2 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs); Cint Group AB (CINT.ST: mangler kurs)"
2026-09-03,0.9909,97.46,-0.0783,69,"Beholdningene er 69 dager gamle. Forvalter kan ha handlet siden da. Hent ny liste fra Morningstar (fond-ID F0000027G1) eller DNBs halvårsrapport på dnbam.com, som skal foreligge senest to måneder etter periodeslutt. | 2 beholdning(er) uten kurs: Asmodee Group AB (ASMODEE-B.ST: mangler kurs); Cint Group AB (CINT.ST: mangler kurs)"
