# Faktisk NAV for DNB Teknologi A.
#
# Hele juli er eksakte kurser fra DNBs kurstabell. Mai og juni er avlest fra
# samme kilde, men fra skjermbilder der enkeltrader kan ha falt utenfor - 17.07
# manglet på den måten og ble oppdaget først da hele juli ble hentet på nytt.
# Mangler backtesten dager i mai eller juni, er det trolig samme årsak, og da
# spenner den påfølgende raden over to dager i stedet for én.
#
# Verdt å merke seg for tilliten til metoden: 23.07 ble regnet baklengs fra
# Nordnets ukesgraf til 6536.41 før fasit fantes. Tabellen sier 6536.229.
date,nav
2026-05-05,6471.06
2026-05-06,6528.21
2026-05-07,6557.53
2026-05-08,6558.44
2026-05-11,6509.63
2026-05-12,6426.53
2026-05-13,6462.12
2026-05-15,6601.00
2026-05-18,6603.62
2026-05-19,6574.86
2026-05-20,6618.09
2026-05-21,6605.12
2026-05-22,6719.63
2026-05-26,6745.70
2026-05-27,6779.13
2026-05-28,6829.25
2026-06-01,7124.30
2026-06-02,7058.83
2026-06-03,6932.32
2026-06-04,6958.13
2026-06-05,6803.74
2026-06-08,6809.65
2026-06-09,6759.37
2026-06-10,6607.32
2026-06-11,6632.94
2026-06-12,6662.12
2026-06-15,6806.65
2026-06-16,6714.50
2026-06-17,6631.21
2026-06-18,6806.32
2026-06-22,6647.37
2026-06-23,6651.75
2026-06-24,6712.03
2026-06-25,6601.01
2026-06-26,6704.75
2026-06-29,6785.28
2026-06-30,6789.03
2026-07-01,6896.910
2026-07-02,6858.105
2026-07-06,6922.515
2026-07-07,6904.755
2026-07-08,6834.128
2026-07-09,6899.984
2026-07-10,6945.970
2026-07-13,6980.051
2026-07-14,6841.846
2026-07-15,6918.764
2026-07-16,6879.967
2026-07-17,6801.987
2026-07-20,6857.484
2026-07-21,6793.540
2026-07-22,6707.500
2026-07-23,6536.229
2026-07-24,6592.047
2026-07-27,6780.933
2026-07-28,6922.594
2026-07-29,6906.658
2026-07-30,6916.083
